"침수면적(1,000㎡)",총강수량(mm),기간(일),태풍,평균기온(℃),최다강수1H,최대풍속(m/s),일자,행정구역
0.4,284.5,5,0.0,24.3,25.0,5.5,2013-07-13,도봉구
1.8,410.5,8,0.0,23.6,37.5,6.9,2002-08-08,도봉구
4.8,306.5,4,0.0,23.2,72.5,4.9,2011-07-28,도봉구
7.1,340.0,5,0.0,23.6,39.0,5.7,2003-08-25,도봉구
15.0,764.5,13,0.0,25.0,46.5,9.1,1999-07-29,도봉구
1429.2,1064.0,19,0.0,22.8,69.0,6.8,1998-08-09,도봉구
9.8,557.0,13,0.0,26.2,37.0,9.6,1999-07-29,양천구
32.9,77.0,1,0.0,26.8,60.5,4.0,2012-07-13,양천구
339.4,323.5,5,0.0,24.5,67.5,4.9,2003-08-25,양천구
498.7,469.5,4,0.0,25.8,62.0,4.1,2011-07-28,양천구
582.7,878.5,19,0.0,26.7,63.0,7.3,1998-08-09,양천구
1139.9,269.0,2,0.0,19.7,71.5,4.5,2010-09-22,양천구
1219.2,439.0,8,0.0,24.5,86.5,6.2,2002-08-08,양천구
0.4,77.5,3,0.0,21.5,18.0,4.5,2004-06-20,성북구
0.4,192.5,4,0.0,24.4,33.0,6.8,2003-07-24,성북구
0.9,243.5,6,0.0,23.4,29.5,9.0,2009-07-14,성북구
2.4,222.0,12,0.0,26.0,33.0,9.1,2007-08-10,성북구
4.3,195.0,1,0.0,21.5,41.0,6.8,2009-07-09,성북구
5.7,196.0,4,0.0,23.0,42.0,5.7,2008-07-25,성북구
5.7,200.0,5,0.0,23.4,58.5,3.7,2003-08-19,성북구
12.5,143.5,17,0.0,26.8,21.5,7.1,2008-08-10,성북구
13.2,463.0,8,0.0,23.4,51.0,7.7,2002-08-08,성북구
14.0,731.5,13,0.0,24.5,52.0,10.0,1999-07-29,성북구
17.2,878.5,21,0.0,23.2,51.5,8.5,2006-07-19,성북구
26.7,170.5,2,0.0,19.2,53.0,7.6,2010-09-22,성북구
74.1,317.0,5,0.0,20.6,50.5,6.0,2003-08-25,성북구
111.6,576.0,4,0.0,24.6,59.0,6.4,2011-07-28,성북구
1458.6,1107.5,19,0.0,23.4,84.5,6.6,1998-08-09,성북구
0.4,152.0,5,0.0,23.8,43.0,4.9,2003-08-19,구로구
0.9,252.5,6,0.0,23.6,29.0,10.6,2009-07-14,구로구
1.4,100.0,6,0.0,26.4,47.5,9.6,2010-08-16,구로구
5.7,212.5,4,0.0,24.2,46.5,4.9,2003-07-24,구로구
8.1,817.0,21,0.0,23.4,58.0,9.3,2006-07-19,구로구
8.9,575.0,13,0.0,26.6,39.5,10.5,1999-07-29,구로구
24.7,669.5,19,0.0,25.7,61.0,6.5,1998-08-09,구로구
39.5,373.0,10,0.0,26.6,42.5,11.8,2000-08-28,구로구
46.2,64.5,1,0.0,26.0,54.5,6.3,2012-07-13,구로구
57.8,522.0,8,0.0,24.4,59.5,7.4,2002-08-08,구로구
165.4,286.8,4,0.0,24.7,80.0,6.0,2011-07-28,구로구
175.4,312.5,5,0.0,23.4,63.5,5.6,2003-08-25,구로구
879.1,230.0,2,0.0,19.3,78.0,6.9,2010-09-22,구로구
0.9,124.0,9,0.0,20.0,34.5,2.1,2001-06-27,중랑구
7.5,549.0,13,0.0,21.3,37.0,9.2,1999-07-29,중랑구
25.4,572.5,4,0.0,26.5,64.5,6.4,2011-07-28,중랑구
107.9,185.0,5,0.0,24.2,75.0,4.5,2003-08-19,중랑구
132.8,227.5,2,0.0,20.0,73.0,7.6,2010-09-22,중랑구
404.0,320.5,5,0.0,24.4,63.5,6.4,2003-08-25,중랑구
1011.8,1093.5,19,0.0,24.7,75.5,5.9,1998-08-09,중랑구
0.4,225.5,2,0.0,23.7,25.0,3.0,2009-08-12,강북구
0.9,314.0,10,0.0,23.7,29.5,5.0,2011-07-12,강북구
0.9,504.0,16,0.0,23.4,51.5,6.8,2004-07-10,강북구
1.9,205.5,17,0.0,27.2,47.5,5.9,2008-08-10,강북구
1.9,228.0,4,0.0,23.0,44.0,4.5,2008-07-25,강북구
2.4,269.0,6,0.0,23.9,38.0,7.2,2009-07-14,강북구
2.8,233.5,3,0.0,23.9,43.5,5.7,2008-07-20,강북구
2.9,246.5,4,0.0,23.0,34.0,4.4,2010-09-11,강북구
3.3,86.0,3,0.0,25.7,45.5,5.5,2005-07-01,강북구
3.8,46.5,4,0.0,27.4,24.5,4.7,2010-08-11,강북구
3.8,189.0,5,0.0,25.2,57.5,4.3,2003-08-19,강북구
4.4,449.5,13,0.1,22.5,37.5,6.8,2011-06-27,강북구
4.7,335.0,5,0.0,25.5,50.0,5.9,2003-08-25,강북구
5.8,205.0,1,0.0,21.1,47.0,4.4,2009-07-09,강북구
6.5,731.5,13,0.0,24.5,52.0,10.0,1999-07-29,강북구
13.6,130.5,2,0.0,18.8,33.5,5.1,2010-09-22,강북구
18.0,397.0,8,0.0,26.8,48.0,8.8,2002-08-08,강북구
24.9,954.5,21,0.0,24.4,56.5,7.6,2006-07-19,강북구
25.7,54.5,3,0.0,26.0,42.5,5.7,2010-09-06,강북구
55.4,178.5,6,0.0,26.4,67.0,6.3,2010-08-16,강북구
91.0,573.5,4,0.0,25.2,67.5,9.4,2011-07-28,강북구
835.1,1107.5,19,0.0,23.4,84.5,6.6,1998-08-09,강북구
0.4,58.7,3,0.7,22.3,7.5,10.1,2002-08-31,종로구
0.9,95.2,6,0.0,25.8,31.8,8.6,2010-08-16,종로구
2.3,819.2,21,0.0,21.8,43.0,8.9,2006-07-19,종로구
4.6,657.5,13,0.0,23.7,49.7,11.5,1999-07-29,종로구
5.2,167.0,5,0.0,22.2,49.2,4.6,2003-08-19,종로구
12.6,138.0,2,0.0,19.0,40.7,10.4,2010-09-22,종로구
15.6,332.5,5,0.0,22.5,47.2,6.2,2003-08-25,종로구
20.3,339.7,8,0.0,22.2,44.7,9.6,2002-08-08,종로구
31.3,588.5,4,0.0,23.9,60.0,7.7,2011-07-28,종로구
132.2,1074.0,19,0.0,23.4,74.0,8.1,1998-08-09,종로구
0.4,305.5,10,0.0,25.6,34.5,10.4,2000-08-28,영등포구
0.9,185.5,2,0.0,24.4,18.7,5.3,2009-08-12,영등포구
0.9,470.0,4,0.0,25.8,52.0,8.7,2011-07-28,영등포구
0.9,553.0,13,0.0,25.9,43.0,10.5,1999-07-29,영등포구
1.4,135.2,4,0.0,24.8,26.7,5.4,2003-07-24,영등포구
8.5,177.0,5,0.0,24.6,59.5,4.3,2003-08-19,영등포구
80.3,299.7,5,0.0,24.4,59.2,6.2,2003-08-25,영등포구
101.4,437.7,8,0.0,24.5,63.0,7.9,2002-08-08,영등포구
110.3,818.2,21,0.0,24.1,49.2,6.7,2006-07-19,영등포구
200.5,789.0,19,0.0,25.1,64.2,6.8,1998-08-09,영등포구
609.6,268.0,2,0.0,20.0,69.5,6.1,2010-09-22,영등포구
0.9,41.0,1,0.0,22.6,35.5,10.0,2014-06-22,성동구
1.4,880.0,21,0.0,24.2,43.0,8.7,2006-07-19,성동구
3.9,277.5,4,0.0,24.2,43.0,8.0,2012-08-22,성동구
5.2,145.0,5,0.0,24.4,56.0,4.0,2003-08-19,성동구
23.9,89.5,5,0.0,23.2,42.5,5.5,2014-08-19,성동구
33.9,81.5,1,0.0,26.1,68.5,6.8,2012-07-13,성동구
36.6,289.5,5,0.0,24.4,56.5,6.0,2003-08-25,성동구
37.6,505.0,4,0.0,25.0,53.5,9.0,2011-07-28,성동구
41.3,259.5,2,0.0,19.8,75.0,6.9,2010-09-22,성동구
76.2,271.0,8,0.0,21.6,64.5,10.2,2002-08-08,성동구
1225.5,1044.0,19,0.0,24.2,71.0,4.4,1998-08-09,성동구
0.4,35.0,1,0.0,21.0,22.5,3.7,2014-06-23,용산구
0.4,260.5,4,0.0,24.4,38.5,6.9,2012-08-22,용산구
0.5,214.0,7,0.0,23.8,39.5,5.9,2016-07-04,용산구
1.9,173.0,5,0.0,24.4,63.0,4.2,2003-08-19,용산구
2.3,126.0,3,0.0,24.9,39.5,9.0,2005-06-27,용산구
2.9,141.5,3,0.0,25.9,51.0,9.5,2012-08-15,용산구
3.2,414.0,13,0.0,25.7,35.0,13.3,1999-07-29,용산구
3.8,257.0,7,0.0,25.1,78.0,5.6,2010-08-26,용산구
10.5,775.5,21,0.0,24.1,38.0,8.0,2006-07-19,용산구
12.2,45.0,1,0.0,26.7,36.0,4.1,2012-07-13,용산구
37.8,892.5,19,0.0,26.3,61.0,8.4,1998-08-09,용산구
39.1,476.0,4,0.0,25.6,49.0,8.3,2011-07-28,용산구
47.5,323.0,5,0.0,24.4,56.5,8.1,2003-08-25,용산구
70.5,263.5,2,0.0,19.8,68.0,6.7,2010-09-22,용산구
80.5,443.5,8,0.0,24.5,54.0,10.8,2002-08-08,용산구
0.4,32.5,1,0.0,27.4,25.5,3.3,2012-07-13,서초구
0.9,93.0,3,0.3,26.3,30.5,4.3,2012-07-18,서초구
0.9,114.0,5,0.0,24.4,33.0,3.5,2003-08-19,서초구
1.9,36.0,2,0.0,26.0,32.5,2.9,2013-07-05,서초구
2.3,211.0,4,0.0,25.7,30.5,3.8,2003-07-24,서초구
3.9,188.0,3,0.0,26.2,59.5,4.7,2012-08-15,서초구
5.1,250.5,7,0.0,24.4,34.0,3.3,2016-07-04,서초구
5.4,230.0,5,0.0,25.2,33.5,4.7,2013-07-13,서초구
6.5,553.0,13,0.0,25.9,41.5,6.3,1999-07-29,서초구
12.3,166.0,2,0.0,26.8,67.0,2.8,2013-07-23,서초구
